model,condition,baseline_rate_percent,masked_rate_percent,causal_effect_pp,ci_lower_pp,ci_upper_pp,p_value
LLaVA-1.5-13B,all,,,-0.5747126436781547,-2.6819923371647514,1.724137931034475,0.6702
LLaVA-1.5-13B,removed,,,-0.5747126436781547,-1.7241379310344862,0.5747126436781547,0.3932
LLaVA-1.5-13B,context,,,-0.1915708812260441,-0.9578544061302764,0.5747126436781658,0.8428
LLaVA-1.5-13B,background,,,-0.5747126436781547,-2.6819923371647514,1.532567049808431,0.6556
LLaVA-1.5-7B,all,,,3.639846743295028,1.5325670498084198,5.938697318007657,0.0014
LLaVA-1.5-7B,removed,,,1.1494252873563315,0.0,2.298850574712652,0.0642
LLaVA-1.5-7B,context,,,0.5747126436781658,-0.5747126436781547,1.7241379310344862,0.384
LLaVA-1.5-7B,background,,,3.065134099616862,0.9578544061302652,5.172413793103448,0.0036
Qwen2.5-VL-7B,all,58.23754789272031,54.406130268199234,3.8314176245210727,2.2988505747126435,5.555555555555555,0.0
Qwen2.5-VL-7B,removed,58.23754789272031,58.23754789272031,0.0,-0.7662835249042145,0.7662835249042145,1.0
Qwen2.5-VL-7B,context,58.23754789272031,58.42911877394637,-0.1915708812260536,-0.9578544061302682,0.5747126436781609,0.8352
Qwen2.5-VL-7B,background,58.23754789272031,55.172413793103445,3.065134099616858,1.532567049808429,4.597701149425287,0.0
