model,condition,n,hallucinated_yes,correct_rejection_no,unknown,hallucination_rate,hallucination_rate_percent
LLaVA-1.5-13B,none,522,463,59,0,0.8869731800766284,88.69731800766284
LLaVA-1.5-13B,all,522,466,56,0,0.89272030651341,89.272030651341
LLaVA-1.5-13B,removed,522,466,56,0,0.89272030651341,89.272030651341
LLaVA-1.5-13B,context,522,464,58,0,0.8888888888888888,88.88888888888889
LLaVA-1.5-13B,background,522,466,56,0,0.89272030651341,89.272030651341
LLaVA-1.5-7B,none,522,415,107,0,0.7950191570881227,79.50191570881226
LLaVA-1.5-7B,all,522,396,126,0,0.7586206896551724,75.86206896551724
LLaVA-1.5-7B,removed,522,409,113,0,0.7835249042145593,78.35249042145594
LLaVA-1.5-7B,context,522,412,110,0,0.789272030651341,78.9272030651341
LLaVA-1.5-7B,background,522,399,123,0,0.764367816091954,76.4367816091954
Qwen2.5-VL-7B,none,522,304,218,0,0.5823754789272031,58.23754789272031
Qwen2.5-VL-7B,all,522,284,238,0,0.5440613026819924,54.406130268199234
Qwen2.5-VL-7B,removed,522,304,218,0,0.5823754789272031,58.23754789272031
Qwen2.5-VL-7B,context,522,305,216,1,0.5842911877394636,58.42911877394637
Qwen2.5-VL-7B,background,522,288,234,0,0.5517241379310345,55.172413793103445
