region,strategy,n,hallucinated_yes,correct_rejection_no,unknown,hallucination_rate,hallucination_rate_percent
all,high_uncertainty,522,396,126,0,0.7586206896551724,75.86206896551724
all,matched_random_seed42,522,392,130,0,0.7509578544061303,75.09578544061303
all,matched_low_uncertainty,522,415,107,0,0.7950191570881227,79.50191570881226
removed,high_uncertainty,522,409,113,0,0.7835249042145593,78.35249042145594
removed,matched_random_seed42,522,411,111,0,0.7873563218390804,78.73563218390804
removed,matched_low_uncertainty,522,415,107,0,0.7950191570881227,79.50191570881226
context,high_uncertainty,522,412,110,0,0.789272030651341,78.9272030651341
context,matched_random_seed42,522,413,109,0,0.7911877394636015,79.11877394636015
context,matched_low_uncertainty,522,415,107,0,0.7950191570881227,79.50191570881226
background,high_uncertainty,522,399,123,0,0.764367816091954,76.4367816091954
background,matched_random_seed42,522,400,122,0,0.7662835249042146,76.62835249042146
background,matched_low_uncertainty,522,415,107,0,0.7950191570881227,79.50191570881226
